PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=388 ttl=64 time=707 ms
64 bytes from 10.0.0.2: icmp_seq=389 ttl=64 time=706 ms
64 bytes from 10.0.0.2: icmp_seq=390 ttl=64 time=701 ms
64 bytes from 10.0.0.2: icmp_seq=391 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=392 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=393 ttl=64 time=706 ms
64 bytes from 10.0.0.2: icmp_seq=394 ttl=64 time=698 ms
64 bytes from 10.0.0.2: icmp_seq=395 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=396 ttl=64 time=704 ms
64 bytes from 10.0.0.2: icmp_seq=397 ttl=64 time=700 ms
64 bytes from 10.0.0.2: icmp_seq=398 ttl=64 time=706 ms
64 bytes from 10.0.0.2: icmp_seq=399 ttl=64 time=700 ms
64 bytes from 10.0.0.2: icmp_seq=400 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=401 ttl=64 time=711 ms
64 bytes from 10.0.0.2: icmp_seq=402 ttl=64 time=682 ms
64 bytes from 10.0.0.2: icmp_seq=403 ttl=64 time=727 ms
64 bytes from 10.0.0.2: icmp_seq=404 ttl=64 time=724 ms
64 bytes from 10.0.0.2: icmp_seq=405 ttl=64 time=718 ms
64 bytes from 10.0.0.2: icmp_seq=406 ttl=64 time=720 ms
64 bytes from 10.0.0.2: icmp_seq=407 ttl=64 time=723 ms
64 bytes from 10.0.0.2: icmp_seq=408 ttl=64 time=717 ms
64 bytes from 10.0.0.2: icmp_seq=409 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=410 ttl=64 time=715 ms
64 bytes from 10.0.0.2: icmp_seq=411 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=412 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=413 ttl=64 time=724 ms
64 bytes from 10.0.0.2: icmp_seq=414 ttl=64 time=716 ms
64 bytes from 10.0.0.2: icmp_seq=415 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=416 ttl=64 time=739 ms
64 bytes from 10.0.0.2: icmp_seq=417 ttl=64 time=736 ms
64 bytes from 10.0.0.2: icmp_seq=418 ttl=64 time=748 ms
64 bytes from 10.0.0.2: icmp_seq=419 ttl=64 time=738 ms
64 bytes from 10.0.0.2: icmp_seq=420 ttl=64 time=738 ms
64 bytes from 10.0.0.2: icmp_seq=421 ttl=64 time=745 ms
64 bytes from 10.0.0.2: icmp_seq=422 ttl=64 time=736 ms
64 bytes from 10.0.0.2: icmp_seq=423 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=424 ttl=64 time=725 ms
64 bytes from 10.0.0.2: icmp_seq=425 ttl=64 time=723 ms
64 bytes from 10.0.0.2: icmp_seq=426 ttl=64 time=719 ms
64 bytes from 10.0.0.2: icmp_seq=427 ttl=64 time=723 ms
64 bytes from 10.0.0.2: icmp_seq=428 ttl=64 time=721 ms
64 bytes from 10.0.0.2: icmp_seq=429 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=430 ttl=64 time=625 ms
64 bytes from 10.0.0.2: icmp_seq=431 ttl=64 time=639 ms
64 bytes from 10.0.0.2: icmp_seq=432 ttl=64 time=639 ms
64 bytes from 10.0.0.2: icmp_seq=433 ttl=64 time=648 ms
64 bytes from 10.0.0.2: icmp_seq=434 ttl=64 time=646 ms
64 bytes from 10.0.0.2: icmp_seq=435 ttl=64 time=647 ms
64 bytes from 10.0.0.2: icmp_seq=436 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=437 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=438 ttl=64 time=705 ms
64 bytes from 10.0.0.2: icmp_seq=439 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=440 ttl=64 time=716 ms
64 bytes from 10.0.0.2: icmp_seq=441 ttl=64 time=711 ms
64 bytes from 10.0.0.2: icmp_seq=442 ttl=64 time=707 ms
64 bytes from 10.0.0.2: icmp_seq=443 ttl=64 time=714 ms
64 bytes from 10.0.0.2: icmp_seq=444 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=445 ttl=64 time=726 ms
64 bytes from 10.0.0.2: icmp_seq=446 ttl=64 time=715 ms
64 bytes from 10.0.0.2: icmp_seq=447 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=448 ttl=64 time=723 ms
64 bytes from 10.0.0.2: icmp_seq=449 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=450 ttl=64 time=716 ms
64 bytes from 10.0.0.2: icmp_seq=451 ttl=64 time=717 ms
64 bytes from 10.0.0.2: icmp_seq=452 ttl=64 time=727 ms
64 bytes from 10.0.0.2: icmp_seq=453 ttl=64 time=725 ms
64 bytes from 10.0.0.2: icmp_seq=454 ttl=64 time=723 ms
64 bytes from 10.0.0.2: icmp_seq=455 ttl=64 time=716 ms
64 bytes from 10.0.0.2: icmp_seq=456 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=457 ttl=64 time=725 ms
64 bytes from 10.0.0.2: icmp_seq=458 ttl=64 time=723 ms
64 bytes from 10.0.0.2: icmp_seq=459 ttl=64 time=733 ms
64 bytes from 10.0.0.2: icmp_seq=460 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=461 ttl=64 time=745 ms
64 bytes from 10.0.0.2: icmp_seq=462 ttl=64 time=748 ms
64 bytes from 10.0.0.2: icmp_seq=463 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=464 ttl=64 time=751 ms
64 bytes from 10.0.0.2: icmp_seq=465 ttl=64 time=748 ms
64 bytes from 10.0.0.2: icmp_seq=466 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=467 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=468 ttl=64 time=754 ms
64 bytes from 10.0.0.2: icmp_seq=469 ttl=64 time=752 ms
64 bytes from 10.0.0.2: icmp_seq=470 ttl=64 time=763 ms
64 bytes from 10.0.0.2: icmp_seq=471 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=472 ttl=64 time=757 ms
64 bytes from 10.0.0.2: icmp_seq=473 ttl=64 time=759 ms
64 bytes from 10.0.0.2: icmp_seq=474 ttl=64 time=756 ms
64 bytes from 10.0.0.2: icmp_seq=475 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=476 ttl=64 time=758 ms
64 bytes from 10.0.0.2: icmp_seq=477 ttl=64 time=759 ms
64 bytes from 10.0.0.2: icmp_seq=478 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=479 ttl=64 time=748 ms
64 bytes from 10.0.0.2: icmp_seq=480 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=481 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=482 ttl=64 time=757 ms
64 bytes from 10.0.0.2: icmp_seq=483 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=484 ttl=64 time=746 ms
64 bytes from 10.0.0.2: icmp_seq=485 ttl=64 time=759 ms
64 bytes from 10.0.0.2: icmp_seq=486 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=487 ttl=64 time=894 ms
64 bytes from 10.0.0.2: icmp_seq=488 ttl=64 time=887 ms
64 bytes from 10.0.0.2: icmp_seq=489 ttl=64 time=900 ms
64 bytes from 10.0.0.2: icmp_seq=490 ttl=64 time=913 ms
64 bytes from 10.0.0.2: icmp_seq=491 ttl=64 time=909 ms
64 bytes from 10.0.0.2: icmp_seq=492 ttl=64 time=907 ms
64 bytes from 10.0.0.2: icmp_seq=493 ttl=64 time=919 ms
64 bytes from 10.0.0.2: icmp_seq=494 ttl=64 time=804 ms
64 bytes from 10.0.0.2: icmp_seq=495 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=496 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=497 ttl=64 time=776 ms
64 bytes from 10.0.0.2: icmp_seq=498 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=499 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=500 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=501 ttl=64 time=794 ms
64 bytes from 10.0.0.2: icmp_seq=502 ttl=64 time=786 ms
64 bytes from 10.0.0.2: icmp_seq=503 ttl=64 time=786 ms
64 bytes from 10.0.0.2: icmp_seq=504 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=505 ttl=64 time=793 ms
64 bytes from 10.0.0.2: icmp_seq=506 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=507 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=508 ttl=64 time=781 ms
64 bytes from 10.0.0.2: icmp_seq=509 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=510 ttl=64 time=756 ms
64 bytes from 10.0.0.2: icmp_seq=511 ttl=64 time=758 ms
64 bytes from 10.0.0.2: icmp_seq=512 ttl=64 time=752 ms
64 bytes from 10.0.0.2: icmp_seq=513 ttl=64 time=748 ms
64 bytes from 10.0.0.2: icmp_seq=514 ttl=64 time=759 ms
64 bytes from 10.0.0.2: icmp_seq=515 ttl=64 time=754 ms
64 bytes from 10.0.0.2: icmp_seq=516 ttl=64 time=686 ms
64 bytes from 10.0.0.2: icmp_seq=517 ttl=64 time=667 ms
64 bytes from 10.0.0.2: icmp_seq=518 ttl=64 time=680 ms
64 bytes from 10.0.0.2: icmp_seq=519 ttl=64 time=660 ms
64 bytes from 10.0.0.2: icmp_seq=520 ttl=64 time=689 ms
64 bytes from 10.0.0.2: icmp_seq=521 ttl=64 time=699 ms
64 bytes from 10.0.0.2: icmp_seq=522 ttl=64 time=698 ms
64 bytes from 10.0.0.2: icmp_seq=523 ttl=64 time=769 ms
64 bytes from 10.0.0.2: icmp_seq=524 ttl=64 time=769 ms
64 bytes from 10.0.0.2: icmp_seq=525 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=526 ttl=64 time=758 ms
64 bytes from 10.0.0.2: icmp_seq=527 ttl=64 time=763 ms
64 bytes from 10.0.0.2: icmp_seq=528 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=529 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=530 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=531 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=532 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=533 ttl=64 time=779 ms
64 bytes from 10.0.0.2: icmp_seq=534 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=535 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=536 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=537 ttl=64 time=780 ms
64 bytes from 10.0.0.2: icmp_seq=538 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=539 ttl=64 time=775 ms
64 bytes from 10.0.0.2: icmp_seq=540 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=541 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=542 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=543 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=544 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=545 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=546 ttl=64 time=769 ms
64 bytes from 10.0.0.2: icmp_seq=547 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=548 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=549 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=550 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=551 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=552 ttl=64 time=783 ms
64 bytes from 10.0.0.2: icmp_seq=553 ttl=64 time=798 ms
64 bytes from 10.0.0.2: icmp_seq=554 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=555 ttl=64 time=805 ms
64 bytes from 10.0.0.2: icmp_seq=556 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=557 ttl=64 time=797 ms
64 bytes from 10.0.0.2: icmp_seq=558 ttl=64 time=793 ms
64 bytes from 10.0.0.2: icmp_seq=559 ttl=64 time=808 ms
64 bytes from 10.0.0.2: icmp_seq=560 ttl=64 time=804 ms
64 bytes from 10.0.0.2: icmp_seq=561 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=562 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=563 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=564 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=565 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=566 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=567 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=568 ttl=64 time=798 ms
64 bytes from 10.0.0.2: icmp_seq=569 ttl=64 time=811 ms
64 bytes from 10.0.0.2: icmp_seq=570 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=571 ttl=64 time=797 ms
64 bytes from 10.0.0.2: icmp_seq=572 ttl=64 time=812 ms
64 bytes from 10.0.0.2: icmp_seq=573 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=574 ttl=64 time=797 ms
64 bytes from 10.0.0.2: icmp_seq=575 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=576 ttl=64 time=808 ms
64 bytes from 10.0.0.2: icmp_seq=577 ttl=64 time=804 ms
64 bytes from 10.0.0.2: icmp_seq=578 ttl=64 time=799 ms
64 bytes from 10.0.0.2: icmp_seq=579 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=580 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=581 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=582 ttl=64 time=821 ms
64 bytes from 10.0.0.2: icmp_seq=583 ttl=64 time=839 ms
64 bytes from 10.0.0.2: icmp_seq=584 ttl=64 time=852 ms
64 bytes from 10.0.0.2: icmp_seq=585 ttl=64 time=846 ms
64 bytes from 10.0.0.2: icmp_seq=586 ttl=64 time=861 ms
64 bytes from 10.0.0.2: icmp_seq=587 ttl=64 time=839 ms
64 bytes from 10.0.0.2: icmp_seq=588 ttl=64 time=852 ms
64 bytes from 10.0.0.2: icmp_seq=589 ttl=64 time=848 ms
64 bytes from 10.0.0.2: icmp_seq=590 ttl=64 time=845 ms
64 bytes from 10.0.0.2: icmp_seq=591 ttl=64 time=823 ms
64 bytes from 10.0.0.2: icmp_seq=592 ttl=64 time=838 ms
64 bytes from 10.0.0.2: icmp_seq=593 ttl=64 time=830 ms
64 bytes from 10.0.0.2: icmp_seq=594 ttl=64 time=843 ms
64 bytes from 10.0.0.2: icmp_seq=595 ttl=64 time=846 ms
64 bytes from 10.0.0.2: icmp_seq=596 ttl=64 time=834 ms
64 bytes from 10.0.0.2: icmp_seq=597 ttl=64 time=832 ms
64 bytes from 10.0.0.2: icmp_seq=598 ttl=64 time=829 ms
64 bytes from 10.0.0.2: icmp_seq=599 ttl=64 time=840 ms
64 bytes from 10.0.0.2: icmp_seq=600 ttl=64 time=838 ms
64 bytes from 10.0.0.2: icmp_seq=601 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=602 ttl=64 time=796 ms
64 bytes from 10.0.0.2: icmp_seq=603 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=604 ttl=64 time=805 ms
64 bytes from 10.0.0.2: icmp_seq=605 ttl=64 time=802 ms
64 bytes from 10.0.0.2: icmp_seq=606 ttl=64 time=798 ms
64 bytes from 10.0.0.2: icmp_seq=607 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=608 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=609 ttl=64 time=721 ms
64 bytes from 10.0.0.2: icmp_seq=610 ttl=64 time=719 ms
64 bytes from 10.0.0.2: icmp_seq=611 ttl=64 time=731 ms
64 bytes from 10.0.0.2: icmp_seq=612 ttl=64 time=723 ms
64 bytes from 10.0.0.2: icmp_seq=613 ttl=64 time=717 ms
64 bytes from 10.0.0.2: icmp_seq=614 ttl=64 time=731 ms
64 bytes from 10.0.0.2: icmp_seq=615 ttl=64 time=744 ms
64 bytes from 10.0.0.2: icmp_seq=616 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=617 ttl=64 time=736 ms
64 bytes from 10.0.0.2: icmp_seq=618 ttl=64 time=734 ms
64 bytes from 10.0.0.2: icmp_seq=619 ttl=64 time=754 ms
64 bytes from 10.0.0.2: icmp_seq=620 ttl=64 time=747 ms
64 bytes from 10.0.0.2: icmp_seq=621 ttl=64 time=740 ms
64 bytes from 10.0.0.2: icmp_seq=622 ttl=64 time=741 ms
64 bytes from 10.0.0.2: icmp_seq=623 ttl=64 time=731 ms
64 bytes from 10.0.0.2: icmp_seq=624 ttl=64 time=745 ms
64 bytes from 10.0.0.2: icmp_seq=625 ttl=64 time=748 ms
64 bytes from 10.0.0.2: icmp_seq=626 ttl=64 time=738 ms
64 bytes from 10.0.0.2: icmp_seq=627 ttl=64 time=734 ms
64 bytes from 10.0.0.2: icmp_seq=628 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=629 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=630 ttl=64 time=741 ms
64 bytes from 10.0.0.2: icmp_seq=631 ttl=64 time=738 ms
64 bytes from 10.0.0.2: icmp_seq=632 ttl=64 time=734 ms
64 bytes from 10.0.0.2: icmp_seq=633 ttl=64 time=728 ms
64 bytes from 10.0.0.2: icmp_seq=634 ttl=64 time=741 ms
64 bytes from 10.0.0.2: icmp_seq=635 ttl=64 time=738 ms
64 bytes from 10.0.0.2: icmp_seq=636 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=637 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=638 ttl=64 time=737 ms
64 bytes from 10.0.0.2: icmp_seq=639 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=640 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=641 ttl=64 time=738 ms
64 bytes from 10.0.0.2: icmp_seq=642 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=643 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=644 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=645 ttl=64 time=758 ms
64 bytes from 10.0.0.2: icmp_seq=646 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=647 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=648 ttl=64 time=746 ms
64 bytes from 10.0.0.2: icmp_seq=649 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=650 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=651 ttl=64 time=752 ms
64 bytes from 10.0.0.2: icmp_seq=652 ttl=64 time=747 ms
64 bytes from 10.0.0.2: icmp_seq=653 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=654 ttl=64 time=757 ms
64 bytes from 10.0.0.2: icmp_seq=655 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=656 ttl=64 time=751 ms
64 bytes from 10.0.0.2: icmp_seq=657 ttl=64 time=746 ms
64 bytes from 10.0.0.2: icmp_seq=658 ttl=64 time=759 ms
64 bytes from 10.0.0.2: icmp_seq=659 ttl=64 time=757 ms
64 bytes from 10.0.0.2: icmp_seq=660 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=661 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=662 ttl=64 time=748 ms
64 bytes from 10.0.0.2: icmp_seq=663 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=664 ttl=64 time=759 ms
64 bytes from 10.0.0.2: icmp_seq=665 ttl=64 time=759 ms
64 bytes from 10.0.0.2: icmp_seq=666 ttl=64 time=824 ms
64 bytes from 10.0.0.2: icmp_seq=667 ttl=64 time=820 ms
64 bytes from 10.0.0.2: icmp_seq=668 ttl=64 time=837 ms
64 bytes from 10.0.0.2: icmp_seq=669 ttl=64 time=831 ms
64 bytes from 10.0.0.2: icmp_seq=670 ttl=64 time=827 ms
64 bytes from 10.0.0.2: icmp_seq=671 ttl=64 time=824 ms
64 bytes from 10.0.0.2: icmp_seq=672 ttl=64 time=827 ms
64 bytes from 10.0.0.2: icmp_seq=673 ttl=64 time=837 ms
64 bytes from 10.0.0.2: icmp_seq=674 ttl=64 time=857 ms
64 bytes from 10.0.0.2: icmp_seq=675 ttl=64 time=852 ms
64 bytes from 10.0.0.2: icmp_seq=676 ttl=64 time=850 ms
64 bytes from 10.0.0.2: icmp_seq=677 ttl=64 time=848 ms
64 bytes from 10.0.0.2: icmp_seq=678 ttl=64 time=859 ms
64 bytes from 10.0.0.2: icmp_seq=679 ttl=64 time=855 ms
64 bytes from 10.0.0.2: icmp_seq=680 ttl=64 time=851 ms
64 bytes from 10.0.0.2: icmp_seq=681 ttl=64 time=845 ms
64 bytes from 10.0.0.2: icmp_seq=682 ttl=64 time=860 ms
64 bytes from 10.0.0.2: icmp_seq=683 ttl=64 time=857 ms
64 bytes from 10.0.0.2: icmp_seq=684 ttl=64 time=851 ms
64 bytes from 10.0.0.2: icmp_seq=685 ttl=64 time=855 ms
64 bytes from 10.0.0.2: icmp_seq=686 ttl=64 time=852 ms
64 bytes from 10.0.0.2: icmp_seq=687 ttl=64 time=864 ms
64 bytes from 10.0.0.2: icmp_seq=688 ttl=64 time=855 ms
64 bytes from 10.0.0.2: icmp_seq=689 ttl=64 time=851 ms
64 bytes from 10.0.0.2: icmp_seq=690 ttl=64 time=848 ms
64 bytes from 10.0.0.2: icmp_seq=691 ttl=64 time=849 ms
64 bytes from 10.0.0.2: icmp_seq=692 ttl=64 time=856 ms
64 bytes from 10.0.0.2: icmp_seq=693 ttl=64 time=852 ms
64 bytes from 10.0.0.2: icmp_seq=694 ttl=64 time=849 ms
64 bytes from 10.0.0.2: icmp_seq=695 ttl=64 time=842 ms
64 bytes from 10.0.0.2: icmp_seq=696 ttl=64 time=855 ms
64 bytes from 10.0.0.2: icmp_seq=697 ttl=64 time=853 ms
64 bytes from 10.0.0.2: icmp_seq=698 ttl=64 time=848 ms
64 bytes from 10.0.0.2: icmp_seq=699 ttl=64 time=845 ms
64 bytes from 10.0.0.2: icmp_seq=700 ttl=64 time=858 ms
64 bytes from 10.0.0.2: icmp_seq=701 ttl=64 time=856 ms
64 bytes from 10.0.0.2: icmp_seq=702 ttl=64 time=851 ms
64 bytes from 10.0.0.2: icmp_seq=703 ttl=64 time=850 ms
64 bytes from 10.0.0.2: icmp_seq=704 ttl=64 time=845 ms
64 bytes from 10.0.0.2: icmp_seq=705 ttl=64 time=860 ms
64 bytes from 10.0.0.2: icmp_seq=706 ttl=64 time=866 ms
64 bytes from 10.0.0.2: icmp_seq=707 ttl=64 time=868 ms
64 bytes from 10.0.0.2: icmp_seq=708 ttl=64 time=887 ms
64 bytes from 10.0.0.2: icmp_seq=709 ttl=64 time=877 ms
64 bytes from 10.0.0.2: icmp_seq=710 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=711 ttl=64 time=878 ms
64 bytes from 10.0.0.2: icmp_seq=712 ttl=64 time=880 ms
64 bytes from 10.0.0.2: icmp_seq=713 ttl=64 time=878 ms
64 bytes from 10.0.0.2: icmp_seq=714 ttl=64 time=907 ms
64 bytes from 10.0.0.2: icmp_seq=715 ttl=64 time=894 ms
64 bytes from 10.0.0.2: icmp_seq=716 ttl=64 time=898 ms
64 bytes from 10.0.0.2: icmp_seq=717 ttl=64 time=886 ms
64 bytes from 10.0.0.2: icmp_seq=718 ttl=64 time=885 ms
64 bytes from 10.0.0.2: icmp_seq=719 ttl=64 time=897 ms
64 bytes from 10.0.0.2: icmp_seq=720 ttl=64 time=902 ms
64 bytes from 10.0.0.2: icmp_seq=721 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=722 ttl=64 time=885 ms
64 bytes from 10.0.0.2: icmp_seq=723 ttl=64 time=883 ms
64 bytes from 10.0.0.2: icmp_seq=724 ttl=64 time=878 ms
64 bytes from 10.0.0.2: icmp_seq=725 ttl=64 time=873 ms
64 bytes from 10.0.0.2: icmp_seq=726 ttl=64 time=886 ms
64 bytes from 10.0.0.2: icmp_seq=727 ttl=64 time=885 ms
64 bytes from 10.0.0.2: icmp_seq=728 ttl=64 time=881 ms
64 bytes from 10.0.0.2: icmp_seq=729 ttl=64 time=873 ms
64 bytes from 10.0.0.2: icmp_seq=730 ttl=64 time=885 ms
64 bytes from 10.0.0.2: icmp_seq=731 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=732 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=733 ttl=64 time=885 ms
64 bytes from 10.0.0.2: icmp_seq=734 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=735 ttl=64 time=880 ms
64 bytes from 10.0.0.2: icmp_seq=736 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=737 ttl=64 time=888 ms
64 bytes from 10.0.0.2: icmp_seq=738 ttl=64 time=884 ms
64 bytes from 10.0.0.2: icmp_seq=739 ttl=64 time=884 ms
64 bytes from 10.0.0.2: icmp_seq=740 ttl=64 time=876 ms
64 bytes from 10.0.0.2: icmp_seq=741 ttl=64 time=890 ms
64 bytes from 10.0.0.2: icmp_seq=742 ttl=64 time=907 ms
64 bytes from 10.0.0.2: icmp_seq=743 ttl=64 time=900 ms
64 bytes from 10.0.0.2: icmp_seq=744 ttl=64 time=917 ms
64 bytes from 10.0.0.2: icmp_seq=745 ttl=64 time=909 ms
64 bytes from 10.0.0.2: icmp_seq=746 ttl=64 time=921 ms
64 bytes from 10.0.0.2: icmp_seq=747 ttl=64 time=918 ms
64 bytes from 10.0.0.2: icmp_seq=748 ttl=64 time=918 ms
64 bytes from 10.0.0.2: icmp_seq=749 ttl=64 time=913 ms
64 bytes from 10.0.0.2: icmp_seq=750 ttl=64 time=924 ms
64 bytes from 10.0.0.2: icmp_seq=751 ttl=64 time=886 ms
64 bytes from 10.0.0.2: icmp_seq=752 ttl=64 time=896 ms
64 bytes from 10.0.0.2: icmp_seq=753 ttl=64 time=903 ms
64 bytes from 10.0.0.2: icmp_seq=754 ttl=64 time=906 ms
64 bytes from 10.0.0.2: icmp_seq=755 ttl=64 time=897 ms
64 bytes from 10.0.0.2: icmp_seq=756 ttl=64 time=902 ms
64 bytes from 10.0.0.2: icmp_seq=757 ttl=64 time=896 ms
64 bytes from 10.0.0.2: icmp_seq=758 ttl=64 time=908 ms
64 bytes from 10.0.0.2: icmp_seq=759 ttl=64 time=820 ms
64 bytes from 10.0.0.2: icmp_seq=760 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=761 ttl=64 time=815 ms
64 bytes from 10.0.0.2: icmp_seq=762 ttl=64 time=811 ms
64 bytes from 10.0.0.2: icmp_seq=763 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=764 ttl=64 time=807 ms
